match_id,stat,difference
G2 STRIDE vs TEAM BDS,time ball possession,-49.74000000000001
G2 STRIDE vs TEAM BDS,time ball in own side,-31.919999999999987
G2 STRIDE vs TEAM BDS,demos inflicted,5.0
G2 STRIDE vs TEAM BDS,demos taken,-5.0
TEAM BDS vs G2 STRIDE,game duration,0.0
TEAM BDS vs G2 STRIDE,score,385.0
TEAM BDS vs G2 STRIDE,goals,3.0
TEAM BDS vs G2 STRIDE,assists,1.0
TEAM BDS vs G2 STRIDE,saves,0.0
TEAM BDS vs G2 STRIDE,shots,2.0
TEAM BDS vs G2 STRIDE,shots conceded,-2.0
TEAM BDS vs G2 STRIDE,goals conceded,-3.0
TEAM BDS vs G2 STRIDE,shooting percentage,30.15
TEAM BDS vs G2 STRIDE,bpm,-306.0
TEAM BDS vs G2 STRIDE,avg boost amount,-18.79000000000002
TEAM BDS vs G2 STRIDE,amount collected,-2004.0
TEAM BDS vs G2 STRIDE,amount collected big pads,-2129.0
TEAM BDS vs G2 STRIDE,amount collected small pads,125.0
TEAM BDS vs G2 STRIDE,count collected big pads,-26.0
TEAM BDS vs G2 STRIDE,count collected small pads,0.0
TEAM BDS vs G2 STRIDE,amount stolen,-745.0
TEAM BDS vs G2 STRIDE,amount stolen big pads,-549.0
TEAM BDS vs G2 STRIDE,amount stolen small pads,-196.0
TEAM BDS vs G2 STRIDE,count stolen big pads,-6.0
TEAM BDS vs G2 STRIDE,count stolen small pads,-24.0
TEAM BDS vs G2 STRIDE,0 boost time,-4.659999999999997
TEAM BDS vs G2 STRIDE,100 boost time,-72.66000000000001
TEAM BDS vs G2 STRIDE,amount used while supersonic,-588.0
TEAM BDS vs G2 STRIDE,amount overfill total,-654.0
TEAM BDS vs G2 STRIDE,amount overfill stolen,-81.0
TEAM BDS vs G2 STRIDE,time slow speed,142.48000000000002
TEAM BDS vs G2 STRIDE,time boost speed,-53.31
TEAM BDS vs G2 STRIDE,time supersonic speed,-86.57
TEAM BDS vs G2 STRIDE,time on ground,35.97000000000003
TEAM BDS vs G2 STRIDE,time low in air,-21.819999999999993
TEAM BDS vs G2 STRIDE,time high in air,-11.539999999999992
TEAM BDS vs G2 STRIDE,time powerslide,0.9700000000000024
TEAM BDS vs G2 STRIDE,count powerslide,-8.0
TEAM BDS vs G2 STRIDE,time behind ball,62.75999999999999
TEAM BDS vs G2 STRIDE,time in front of ball,-60.16
TEAM BDS vs G2 STRIDE,time defensive half,76.26999999999998
TEAM BDS vs G2 STRIDE,time offensive half,-73.66999999999996
TEAM BDS vs G2 STRIDE,time defensive third,87.51000000000005
TEAM BDS vs G2 STRIDE,time neutral third,-3.3000000000000114
TEAM BDS vs G2 STRIDE,time offensive third,-81.62
TEAM BDS vs G2 STRIDE,time ball possession,-54.78999999999999
TEAM BDS vs G2 STRIDE,time ball in own side,5.460000000000008
TEAM BDS vs G2 STRIDE,demos inflicted,1.0
TEAM BDS vs G2 STRIDE,demos taken,-1.0
TEAM BDS vs G2 STRIDE,game duration,0.0
TEAM BDS vs G2 STRIDE,score,504.0
TEAM BDS vs G2 STRIDE,goals,3.0
TEAM BDS vs G2 STRIDE,assists,3.0
TEAM BDS vs G2 STRIDE,saves,-1.0
TEAM BDS vs G2 STRIDE,shots,0.0
TEAM BDS vs G2 STRIDE,shots conceded,0.0
TEAM BDS vs G2 STRIDE,goals conceded,-3.0
TEAM BDS vs G2 STRIDE,shooting percentage,33.34
TEAM BDS vs G2 STRIDE,bpm,-201.0
TEAM BDS vs G2 STRIDE,avg boost amount,-7.099999999999994
TEAM BDS vs G2 STRIDE,amount collected,-1668.0
TEAM BDS vs G2 STRIDE,amount collected big pads,-1685.0
TEAM BDS vs G2 STRIDE,amount collected small pads,17.0
TEAM BDS vs G2 STRIDE,count collected big pads,-22.0
TEAM BDS vs G2 STRIDE,count collected small pads,-6.0
TEAM BDS vs G2 STRIDE,amount stolen,-990.0
TEAM BDS vs G2 STRIDE,amount stolen big pads,-772.0
TEAM BDS vs G2 STRIDE,amount stolen small pads,-218.0
TEAM BDS vs G2 STRIDE,count stolen big pads,-9.0
TEAM BDS vs G2 STRIDE,count stolen small pads,-26.0
TEAM BDS vs G2 STRIDE,0 boost time,4.259999999999991
TEAM BDS vs G2 STRIDE,100 boost time,-31.61
TEAM BDS vs G2 STRIDE,amount used while supersonic,-804.0
TEAM BDS vs G2 STRIDE,amount overfill total,-358.0
TEAM BDS vs G2 STRIDE,amount overfill stolen,-126.0
TEAM BDS vs G2 STRIDE,time slow speed,38.24000000000001
TEAM BDS vs G2 STRIDE,time boost speed,17.45999999999998
TEAM BDS vs G2 STRIDE,time supersonic speed,-72.91999999999999
TEAM BDS vs G2 STRIDE,time on ground,4.710000000000036
TEAM BDS vs G2 STRIDE,time low in air,2.990000000000009
TEAM BDS vs G2 STRIDE,time high in air,-24.91000000000001
TEAM BDS vs G2 STRIDE,time powerslide,-0.389999999999997
TEAM BDS vs G2 STRIDE,count powerslide,-22.0
TEAM BDS vs G2 STRIDE,time behind ball,63.80000000000007
TEAM BDS vs G2 STRIDE,time in front of ball,-81.02000000000004
TEAM BDS vs G2 STRIDE,time defensive half,34.49000000000001
TEAM BDS vs G2 STRIDE,time offensive half,-51.73000000000002
TEAM BDS vs G2 STRIDE,time defensive third,28.49000000000001
TEAM BDS vs G2 STRIDE,time neutral third,-4.220000000000027
TEAM BDS vs G2 STRIDE,time offensive third,-41.51000000000002
TEAM BDS vs G2 STRIDE,time ball possession,0.8700000000000045
TEAM BDS vs G2 STRIDE,time ball in own side,0.15000000000000568
TEAM BDS vs G2 STRIDE,demos inflicted,-6.0
TEAM BDS vs G2 STRIDE,demos taken,6.0
TEAM BDS vs G2 STRIDE,game duration,0.0
TEAM BDS vs G2 STRIDE,score,271.0
TEAM BDS vs G2 STRIDE,goals,1.0
TEAM BDS vs G2 STRIDE,assists,0.0
TEAM BDS vs G2 STRIDE,saves,0.0
TEAM BDS vs G2 STRIDE,shots,2.0
TEAM BDS vs G2 STRIDE,shots conceded,-2.0
TEAM BDS vs G2 STRIDE,goals conceded,-1.0
TEAM BDS vs G2 STRIDE,shooting percentage,4.170000000000002
TEAM BDS vs G2 STRIDE,bpm,-110.0
TEAM BDS vs G2 STRIDE,avg boost amount,-6.530000000000001
TEAM BDS vs G2 STRIDE,amount collected,-844.0
TEAM BDS vs G2 STRIDE,amount collected big pads,-931.0
TEAM BDS vs G2 STRIDE,amount collected small pads,87.0
TEAM BDS vs G2 STRIDE,count collected big pads,-16.0
TEAM BDS vs G2 STRIDE,count collected small pads,8.0
TEAM BDS vs G2 STRIDE,amount stolen,-348.0
TEAM BDS vs G2 STRIDE,amount stolen big pads,-366.0
TEAM BDS vs G2 STRIDE,amount stolen small pads,18.0
TEAM BDS vs G2 STRIDE,count stolen big pads,-5.0
TEAM BDS vs G2 STRIDE,count stolen small pads,1.0
TEAM BDS vs G2 STRIDE,0 boost time,-10.460000000000008
TEAM BDS vs G2 STRIDE,100 boost time,-69.92999999999999
TEAM BDS vs G2 STRIDE,amount used while supersonic,-839.0
TEAM BDS vs G2 STRIDE,amount overfill total,-603.0
TEAM BDS vs G2 STRIDE,amount overfill stolen,-151.0
TEAM BDS vs G2 STRIDE,time slow speed,100.87
TEAM BDS vs G2 STRIDE,time boost speed,-42.08000000000004
TEAM BDS vs G2 STRIDE,time supersonic speed,-61.53
TEAM BDS vs G2 STRIDE,time on ground,-15.81000000000006
TEAM BDS vs G2 STRIDE,time low in air,5.639999999999986
TEAM BDS vs G2 STRIDE,time high in air,7.439999999999998
TEAM BDS vs G2 STRIDE,time powerslide,-1.4699999999999989
TEAM BDS vs G2 STRIDE,count powerslide,-22.0
TEAM BDS vs G2 STRIDE,time behind ball,23.059999999999945
TEAM BDS vs G2 STRIDE,time in front of ball,-25.79000000000002
TEAM BDS vs G2 STRIDE,time defensive half,59.83000000000004
TEAM BDS vs G2 STRIDE,time offensive half,-62.589999999999975
TEAM BDS vs G2 STRIDE,time defensive third,70.39999999999998
TEAM BDS vs G2 STRIDE,time neutral third,-10.079999999999984
TEAM BDS vs G2 STRIDE,time offensive third,-63.06
TEAM BDS vs G2 STRIDE,time ball possession,17.460000000000008
TEAM BDS vs G2 STRIDE,time ball in own side,67.18
TEAM BDS vs G2 STRIDE,demos inflicted,-1.0
TEAM BDS vs G2 STRIDE,demos taken,1.0
